timestamp,ECG_Raw
3288153,-2308
3288253,-1802
3288352,-1445
3288404,-679
3288418,-1259
3288468,-888
3288480,-863
3288502,-1060
3288552,-1039
3288566,-654
3288588,-367
3288638,-18
3288650,-128
3288672,-337
3288722,-86
3288736,725
3288757,366
3288807,-169
3288822,39
3288843,326
3288893,228
3288906,49
3288927,415
3289076,598
3289130,-906
3289181,-665
3289233,-559
3289241,-592
3289262,-268
3289313,56
3289325,138
3289347,-49
3289397,-164
3289411,-18
3289432,175
3289483,394
3289495,843
3289541,1145
3289592,1513
3289602,1545
3289652,1587
3289665,1390
3289686,1289
3289737,1356
3289750,1118
3289771,775
3289821,638
3289834,888
3289855,855
3289904,719
3289919,782
3289940,1026
3289990,1270
3290004,1510
3290026,1555
3290075,1453
3290089,588
3290208,342
3290302,24
3290353,553
3290361,553
3290409,509
3290423,244
3290445,64
3290493,0
3290509,42
3290530,-23
3290578,-184
3290594,-428
3290616,-318
3290664,-142
3290678,-392
3290700,-666
3290748,-792
3290764,-655
3290820,-476
3290868,-568
3290918,-1126
3290932,-918
3290954,-1114
3291001,-1296
3291017,-1336
3291039,-1309
3291086,-1201
3291102,-859
3291123,-830
3291170,-878
3291188,-872
3291209,-814
3291353,-831
3291403,-414
3291449,-968
3291459,-1187
3291504,-888
3291522,-1053
3291543,-1489
3291588,-1665
3291608,-1343
3291629,-1179
3291675,-999
3291692,-821
3291714,-909
3291758,-882
3291778,-124
3291799,218
3291844,219
3291863,-413
3291885,-509
3291929,-434
3291947,-631
3291968,-803
3292045,-849
3292054,-1164
3292098,-1057
3292117,-640
3292139,-597
3292183,-592
3292202,-557
3292223,-564
3292267,-589
3292286,-659
3292308,-591
3292351,-494
3292372,-850
3292487,-1249
3292571,-1216
3292617,-979
3292623,-937
3292643,-1233
3292686,-1251
3292706,-688
3292728,-723
3292771,-975
3292791,-1140
3292813,-932
3292856,-752
3292876,-840
3292898,-885
3292941,-901
3292962,-1163
3292983,-1145
3293025,-951
3293030,-962
3293047,-1201
3293069,-1573
3293111,-1593
3293149,-1298
3293155,-921
3293196,-1173
3293201,-1433
3293220,-1325
3293240,-1114
3293281,-1010
3293286,-1220
3293305,-1395
3293326,-1424
3293368,-1282
3293373,-1318
3293391,-1497
3293413,-1710
3293454,-1583
3293459,-1292
3293478,-1024
3293498,-1103
3293637,-1282
3293682,-1300
3293723,-1156
3293729,-1211
3293749,-1374
3293790,-1397
3293795,-1379
3293814,-1305
3293835,-1373
3293876,-1426
3293881,-1533
3293899,-1608
3293921,-1808
3293962,-1920
3293967,-1965
3293987,-1852
3294007,-1857
3294080,-1942
3294092,-1624
3294132,-1549
3294137,-1895
3294156,-2245
3294178,-2347
3294218,-2134
3294223,-2156
3294242,-2491
3294263,-2967
3294304,-2996
3294309,-2658
3294329,-2262
3294350,-2283
3294390,-2499
3294395,-2684
3294414,-2608
3294435,-2592
3294476,-2715
3294481,-2982
3294501,-2978
3294523,-2734
3294563,-2382
3294568,-2276
3294587,-2233
3294608,-2069
3294649,-1501
3294654,-915
3294672,-628
3294782,-914
3294860,-981
3294902,533
3294923,1364
3294944,1600
3295017,1871
3295029,1241
3295069,757
3295074,323
3295092,26
3295114,-387
3295153,-883
3295158,-1567
3295178,-2178
3295200,-2674
3295240,-2896
3295245,-3120
3295266,-3428
3295286,-3919
3295326,-4222
3295331,-4226
3295351,-3895
3295373,-3676
3295413,-3628
3295419,-3741
3295437,-3669
3295459,-3488
3295499,-3261
3295504,-3214
3295523,-3185
3295544,-3247
