timestamp,ECG_Raw
2058668,-1887
2058773,-1278
2058829,-835
2058882,-752
2058935,-463
2058950,-1198
2059003,-617
2059014,-308
2059035,-962
2059087,-1366
2059100,-204
2059121,292
2059174,155
2059184,-228
2059298,72
2059401,-395
2059456,-534
2059509,404
2059517,-238
2059539,-242
2059591,32
2059603,387
2059625,171
2059677,-143
2059688,-300
2059709,-182
2059762,-108
2059773,-76
2059794,-45
2059846,-41
2059857,199
2059879,450
2059931,552
2059942,240
2059963,239
2060016,385
2060028,130
2060074,-287
2060127,-342
2060133,-12
2060185,-249
2060196,-512
2060217,-201
2060269,162
2060282,190
2060304,102
2060454,342
2060511,2566
2060564,3247
2060617,2642
2060637,2242
2060688,1935
2060699,1821
2060721,1853
2060773,1687
2060785,1248
2060807,1337
2060859,1491
2060870,1329
2060891,1176
2060943,1097
2060956,904
2060977,728
2061029,570
2061040,121
2061061,-261
2061113,-685
2061125,-1433
2061147,-1580
2061199,-1511
2061210,-1182
2061231,-1099
2061283,-957
2061295,-516
2061349,-658
2061401,-1469
2061455,-1955
2061464,-3147
2061584,-3241
2061685,-2347
2061740,-2164
2061793,-1987
2061799,-1575
2061817,-1287
2061869,-934
2061881,-464
2061903,-585
2061955,-866
2061966,-760
2061987,-86
2062039,651
2062051,920
2062073,609
2062125,529
2062137,1213
2062157,1427
2062209,1324
2062222,886
2062243,896
2062295,1119
2062306,1743
2062327,1697
2062379,1336
2062391,953
2062413,1267
2062464,1539
2062477,1089
2062498,886
2062549,985
2062562,1032
2062600,725
2062749,442
2062851,-61
2062903,615
2062915,-755
2062964,-518
2062979,-293
2063000,-519
2063050,-506
2063064,91
2063086,131
2063136,3
2063150,-19
2063171,43
2063221,64
2063233,-53
2063255,-276
2063305,-527
2063319,-198
2063341,186
2063390,203
2063404,-566
2063425,-540
2063474,-318
2063488,-931
2063510,-1545
2063559,-1716
2063573,-1243
2063595,-1298
2063644,-1388
2063658,-468
2063680,71
2063728,165
2063744,-237
2063766,-84
2063912,250
2063964,385
2064012,-81
2064051,-276
2064098,-326
2064146,-226
2064162,-140
2064184,-396
2064229,-612
2064247,-905
2064268,-1378
2064314,-1957
2064332,-2098
2064354,-1727
2064398,-1586
2064417,-2180
2064439,-2224
2064484,-1946
2064503,-2010
2064525,-2572
2064569,-2972
2064588,-2569
2064609,-2368
2064654,-2481
2064673,-2429
2064694,-1933
2064738,-1426
2064757,-1310
2064779,-1545
2064822,-1660
2064843,-1364
2064865,-1271
2064908,-1458
2064927,-2091
2065044,-1989
2065127,-892
2065171,-810
2065177,-371
2065215,-237
2065257,-583
2065263,-1423
2065285,-1146
2065327,-686
2065348,-858
2065369,-1120
2065411,-996
2065433,-358
2065453,-428
2065495,-548
2065500,-423
2065519,-117
2065540,55
2065582,-43
2065604,-277
2065626,-216
2065668,-288
2065688,-814
2065710,-868
2065752,-753
2065757,-674
2065775,-731
2065797,-817
2065839,-797
2065859,-656
2065881,-763
2065922,-959
2065927,-1108
2065945,-1149
2065967,-1129
2066008,-1115
2066014,-1136
2066032,-1164
2066054,-1170
2066193,-1150
2066270,-1839
2066313,-1394
2066355,-824
2066366,-336
2066387,-483
2066428,-808
2066433,-1134
2066452,-1321
2066473,-1375
2066514,-1457
2066520,-1719
2066538,-2072
2066560,-2216
2066601,-1986
2066606,-1646
2066624,-1633
2066646,-2002
2066687,-2272
2066692,-2008
2066711,-1399
2066732,-1073
2066773,-1326
2066778,-1777
2066797,-1840
2066819,-1467
2066859,-1118
2066865,-1117
2066883,-1298
2066905,-1346
2066945,-1225
2066951,-1160
