timestamp,ECG_Raw
504399,828
504523,-1144
504647,-2886
504714,-866
504778,-532
504842,-185
504849,-250
504912,-266
504933,-162
504996,-339
505017,-367
505080,145
505101,458
505164,274
505272,544
505395,-628
505459,-175
505521,-263
505582,89
505600,-579
505660,-375
505665,-411
505685,-680
505745,-815
505750,-885
505770,-1070
505830,-1158
505836,-752
505856,-709
505915,-919
505921,-954
505941,-646
506001,-538
506007,-1121
506026,-1269
506086,-1225
506092,-1500
506110,-1791
506211,-1880
506273,-1775
506279,-1690
506438,-1681
506502,-1287
506563,-1209
506624,-1152
506686,-1193
506694,-1570
506754,-1911
506760,-1735
506779,-1658
506839,-1966
506845,-2581
506865,-2322
506925,-2014
506931,-2338
506949,-2460
507009,-2236
507015,-2006
507035,-2362
507094,-2628
507100,-2233
507120,-2069
507180,-2223
507186,-2682
507204,-2624
507264,-2428
507270,-2186
507290,-2214
507350,-2307
507355,-2506
507374,-2466
507434,-2280
507440,-1927
507459,-2028
507617,-2226
507731,-2260
507848,-2687
507911,-2319
507972,-1827
508033,-2496
508041,-1854
508101,-1839
508106,-2180
508126,-2186
508186,-2066
508192,-2074
508210,-2246
508269,-2337
508275,-2104
508295,-2012
508354,-1995
508360,-1871
508381,-1813
508440,-1866
508446,-2126
508466,-2131
508524,-2071
508530,-1942
508550,-1796
508608,-1620
508614,-1532
508636,-1629
508792,-1687
508855,-2572
508914,-2039
508974,-2329
509033,-1933
509051,-2799
509109,-2762
509115,-2731
509137,-2905
509228,-3028
509288,-2473
509305,-2462
509363,-2557
509368,-2450
509390,-2280
509448,-2233
509454,-2617
509474,-2609
509532,-2283
509538,-1831
509559,-2128
509617,-2444
509623,-2063
509644,-1698
509702,-1621
509708,-2023
509729,-2055
509786,-1901
509794,-1548
509815,-1513
509971,-1561
510032,-1653
510090,-2091
510149,-1706
510207,-2313
510213,-2285
510233,-2376
510289,-2414
510295,-2427
510317,-2576
510373,-2628
510381,-2108
510402,-2125
510459,-2482
510465,-2557
510487,-2088
510576,-1872
510634,-1873
510654,-2054
510710,-2031
510719,-1637
510739,-1793
510794,-2022
510803,-1818
510824,-1633
510879,-1639
510888,-1790
510910,-1702
510965,-1579
510974,-1355
510995,-1071
511149,-691
511208,883
511265,-153
511320,-1844
511328,-2696
511382,-3202
511391,-3836
511413,-3609
511468,-3187
511477,-2646
511498,-2478
511550,-2179
511561,-1361
511583,-1139
511634,-1147
511647,-1499
511668,-1533
511720,-1386
511731,-1085
511753,-1122
511804,-1198
511816,-1087
511854,-1010
511905,-983
511923,-885
511973,-948
511986,-1040
512007,-968
512057,-915
512071,-1029
512092,-1052
512141,-1038
512155,-1156
512177,-1099
512324,-826
512377,-474
512426,-874
512432,-1151
512480,-974
512491,-896
512512,-1033
512561,-1169
512576,-1401
512598,-1429
512644,-1315
512662,-1154
512683,-1386
512729,-1718
512747,-1909
512768,-1811
512814,-1830
512832,-2228
512853,-2315
512899,-2214
512916,-1767
512938,-1608
512983,-1555
513002,-1659
513024,-1680
513102,-1652
513108,-1793
513154,-1770
513171,-1572
513193,-1559
513239,-1562
513256,-1264
513277,-1189
513323,-1311
513340,-1390
513457,-1080
513545,-923
513592,-726
513611,-436
513656,-346
513675,-401
513698,-620
513742,-799
513761,-441
513782,-243
513826,-348
513845,-611
513866,-273
513910,91
513930,-192
513951,-397
513995,-290
514015,-145
514037,-414
514080,-535
514100,-97
514123,-168
514166,-502
514186,-460
514207,-110
514250,-78
514270,-818
514292,-818
514334,-550
514371,-436
514377,-1076
514419,-1207
514424,-1022
514442,-826
514464,-886
514604,-1140
514649,-921
514692,-765
514714,-904
514756,-1029
514778,-1032
514799,-974
514841,-974
514845,-1089
514864,-1289
514885,-1420
514927,-1335
514949,-920
514970,-1044
515011,-1352
515016,-1497
515034,-1295
515134,-968
515177,-1773
515218,-1005
515224,-1156
515264,-1351
515269,-1224
515287,-883
515309,-672
515348,-753
515353,-957
515374,-980
515396,-755
515435,-529
515440,-534
515460,-737
515515,-878
515555,-508
515566,-456
515605,-659
515610,-759
515630,-681
515741,-524
515818,-729
515859,-848
515880,-835
515901,-782
515940,-786
515945,-771
515967,-658
515988,-491
516028,-411
516032,-492
516052,-675
516074,-813
516113,-821
516118,-729
516138,-573
516161,-431
516200,-401
516205,-527
516225,-712
516246,-743
516285,-512
516290,-168
516310,6
516331,-127
516371,-396
516376,-519
516397,-392
516419,-142
516458,9
516463,-48
516482,-253
516504,-450
516543,-500
516581,-357
516590,-51
516629,-224
516634,-549
516654,-760
516675,-712
516714,-503
516719,-371
516739,-421
516762,-519
516900,-496
516943,-459
516983,-336
516992,-666
517013,-564
517053,-308
517058,-131
517077,-179
517099,-373
517138,-511
517143,-499
517163,-408
517184,-363
517224,-451
517229,-660
517249,-890
517272,-987
517311,-878
517316,-643
517336,-499
517357,-586
517396,-817
517401,-956
517421,-888
517443,-718
517482,-641
517487,-714
517507,-810
517530,-784
517602,-630
517613,-498
517653,-660
517658,-769
517678,-752
517699,-689
517738,-748
517743,-955
517763,-1142
517785,-1094
517824,-840
517829,-630
517850,-598
517872,-569
517911,-287
517916,180
517936,489
518045,455
518121,917
518128,-411
518167,-552
518186,-1388
518208,-2159
518247,-2909
518253,-3389
518272,-3470
518296,-3210
518335,-2834
518340,-2547
518359,-2363
518380,-2109
518419,-1632
518425,-1013
518446,-541
518467,-431
518507,-603
518512,-774
518532,-759
518553,-600
518625,-497
518637,-622
518676,-411
518681,-167
518701,-47
518722,-73
518762,-156
518767,-238
518788,-347
518809,-475
518849,-513
518854,-414
518874,-315
518895,-384
518935,-560
518940,-569
518960,-284
518981,48
519020,54
519025,-284
519045,-569
519068,-446
519206,-47
519249,174
519289,-295
519297,-398
519318,-244
519358,-264
519363,-407
519384,-457
519404,-358
519443,-268
519448,-326
519470,-461
519491,-517
519531,-477
519535,-475
519555,-581
519577,-707
519616,-743
519654,-718
519662,-711
519701,-683
519706,-600
519726,-531
519747,-520
519787,-530
519792,-498
519813,-433
519835,-385
519874,-353
519879,-278
519899,-153
519920,-91
519960,-202
519965,-424
519984,-566
520006,-533
520045,-397
520050,-319
520070,-351
520092,-425
520131,-441
520136,-355
520158,-197
520179,-12
520218,148
520223,223
520243,180
520351,51
520428,-86
520435,-255
520474,-103
520493,11
520516,-44
520556,-120
520561,-208
520580,-287
520602,-318
520641,-282
520679,-215
520687,-278
520726,-439
520731,-599
520751,-674
520772,-626
520812,-500
520817,-448
520837,-595
520858,-879
520898,-1041
520903,-927
520924,-677
520945,-609
520985,-838
520990,-1120
521010,-1144
521031,-905
521071,-715
521076,-813
521096,-1094
521117,-1281
521157,-1279
521162,-1256
521182,-1352
521203,-1463
521243,-1423
521248,-1281
521268,-1260
521289,-1418
521329,-1543
521334,-1436
521354,-1215
521375,-1215
521514,-1523
521557,-1249
521597,-1234
521604,-1158
521642,-1212
521682,-1238
521691,-1421
521711,-1623
521750,-1737
521755,-1694
521777,-1586
521798,-1534
521838,-1544
521843,-1513
521863,-1408
521884,-1308
521924,-1305
521929,-1381
521949,-1412
521970,-1326
522010,-1183
522015,-1096
522035,-1092
522056,-1118
522096,-1115
522101,-1084
522121,-1057
522142,-1044
522181,-1030
522186,-1070
522206,-1193
522228,-1329
522267,-1316
522272,-1073
522292,-779
522314,-687
522353,-846
522358,-1004
522378,-921
522399,-689
522438,-647
522476,-967
522485,-1468
522525,-1146
522530,-731
522550,-583
522658,-727
522735,-96
522741,-670
522780,-824
522800,-630
522822,-374
522861,-256
522866,-350
522887,-500
522909,-460
522948,-185
522953,89
522973,100
522994,-203
523033,-562
523038,-667
523058,-460
523081,-171
523120,-94
523125,-277
523145,-491
523166,-457
523206,-133
523211,222
523230,289
523252,4
523291,-341
523296,-403
523317,-138
523339,161
523378,192
523383,-69
523404,-354
523425,-403
523465,-217
523502,33
523510,183
523549,59
523554,-115
523575,-234
523596,-228
523636,-142
523641,-122
523661,-257
523682,-437
523820,-471
523862,-360
523903,-346
523912,-851
523933,-772
523972,-506
523977,-366
523997,-508
524019,-764
524059,-859
524064,-751
524083,-620
524106,-669
524145,-866
524150,-1018
524170,-1034
524192,-999
524231,-1014
524236,-1030
524256,-970
524277,-862
524316,-837
524321,-935
524341,-1026
524363,-981
524402,-853
524407,-808
524428,-904
524450,-1014
524522,-1020
524534,-1066
524573,-1047
524578,-902
524598,-824
524620,-1007
524659,-1319
524664,-1391
524684,-1045
524705,-575
524744,-426
524749,-706
524771,-1001
524792,-818
524832,-152
524837,487
524856,613
524965,252
525041,227
525048,-1837
525087,-2077
525107,-2965
525129,-3702
525168,-4223
525174,-4263
525194,-3885
525215,-3396
525255,-3026
525260,-2759
525280,-2446
525301,-2047
525341,-1659
525346,-1414
525366,-1359
525387,-1452
525427,-1598
525432,-1684
525452,-1631
525490,-1485
525529,-1421
525537,-1687
525558,-1575
525598,-1197
525603,-875
525623,-940
525644,-1337
525684,-1643
525689,-1566
525709,-1272
525730,-1170
525769,-1388
525775,-1637
525794,-1569
525816,-1214
525855,-919
525860,-908
525882,-1043
525903,-1104
525943,-1065
525948,-1070
525968,-1201
526163,-1353
526240,-1086
526318,-1294
526324,-925
526364,-710
526383,-863
526404,-1052
526444,-1168
526449,-1100
526470,-840
526492,-616
526531,-696
526536,-1070
526556,-1397
526594,-1366
526633,-1026
526640,-681
526661,-851
526700,-997
526705,-1015
526725,-995
526746,-1021
526785,-1058
526790,-1033
526810,-912
526831,-746
526871,-611
526876,-539
526897,-515
526919,-475
526958,-389
526963,-306
526983,-312
527004,-416
527043,-550
527048,-623
527068,-617
527091,-590
527131,-565
527136,-514
527244,-395
527286,-98
527326,-30
527342,-169
527381,-302
527386,-347
527408,-269
527429,-173
527468,-164
527473,-216
527493,-218
527515,-115
527554,3
527559,14
527596,-54
527601,-111
527641,-129
527646,-192
527665,-349
527687,-515
527726,-569
527731,-503
527751,-439
527772,-478
527812,-611
527817,-728
527838,-732
527858,-621
527897,-497
527903,-496
527924,-658
527945,-897
527985,-1046
527990,-1028
528010,-934
528031,-936
528070,-1078
528076,-1257
528095,-1346
528117,-1307
528156,-1217
528161,-1134
528181,-1061
528203,-1002
528242,-977
528247,-1002
528267,-1039
528389,-1017
528466,-989
528507,-1027
528518,-1010
528539,-1097
528611,-1243
528623,-1385
528662,-1214
528667,-1155
528687,-1354
528709,-1669
528748,-1769
528754,-1505
528775,-1106
528797,-943
528836,-1132
528841,-1431
528861,-1505
528882,-1291
528922,-1033
528927,-975
528947,-1134
528968,-1311
529008,-1357
529013,-1292
529033,-1214
529054,-1184
529094,-1169
529099,-1121
529119,-1069
529140,-1058
529180,-1042
529185,-978
529205,-895
529226,-889
529265,-1003
529270,-1118
529290,-1063
529312,-827
529351,-611
529356,-619
529377,-817
529415,-973
529553,-897
529596,-921
529636,-926
529649,-1190
529688,-1124
529693,-1040
529713,-1026
529735,-1032
529774,-954
529779,-798
529799,-700
529820,-750
529859,-848
529864,-837
529886,-716
529907,-661
529946,-797
529951,-1058
529971,-1234
529993,-1199
530032,-1035
530037,-923
530057,-920
530078,-926
530118,-837
530123,-667
530143,-519
530164,-460
530203,-463
530208,-481
530230,-516
530251,-601
530290,-691
530295,-709
530315,-653
530336,-614
530376,-666
530381,-752
530419,-748
530424,-626
530463,-528
530468,-565
530488,-649
530509,-636
530548,-538
530553,-526
530573,-702
530595,-936
530732,-1004
530775,-1020
530815,-841
530824,-957
530846,-1056
530885,-1094
530890,-1055
530912,-992
530933,-935
530972,-858
530977,-733
530997,-639
531018,-693
531058,-864
531063,-968
531083,-873
531104,-693
531143,-697
531148,-961
531170,-1221
531191,-1173
531231,-841
531236,-571
531255,-612
531277,-902
531316,-1150
531321,-1186
531341,-1122
531362,-1135
531434,-1227
531445,-812
531485,-479
531490,-188
531510,66
531532,291
531572,493
531577,695
531597,927
531618,1125
531657,1215
531662,1192
531682,1148
531704,1156
531743,1161
531748,989
531768,551
531876,-32
531953,-2560
531960,-2849
531999,-2626
532020,-2051
532041,-1732
532081,-1457
532086,-1248
532106,-1054
532127,-849
532167,-681
532172,-591
532191,-522
532213,-405
532252,-290
532257,-277
532277,-348
532300,-366
532339,-224
532344,-17
532364,52
532385,-109
532458,-339
532469,-89
532508,-81
532513,-272
532535,-458
532556,-443
532595,-261
532600,-144
532620,-250
532642,-446
532681,-443
532686,-151
532706,142
532727,82
532767,-289
532772,-544
532791,-356
532814,100
532854,332
532859,112
532879,-245
532900,-312
533038,-33
533081,-191
533121,-315
533130,-289
533151,-462
533191,-619
533196,-516
533216,-176
533237,97
533276,68
533281,-133
533301,-160
533322,115
533362,436
533367,433
533388,32
533409,-457
533449,-644
533454,-427
533492,-69
533497,68
533536,-140
533541,-465
533559,-530
533581,-192
533620,297
533625,543
533646,392
533668,63
533707,-102
533712,-20
533732,131
533753,176
533792,126
533798,88
533817,71
533840,29
533879,6
533884,122
533904,370
533925,558
533965,519
533970,300
533990,101
534011,5
534050,-61
534055,-124
534076,-105
534185,22
534261,50
534268,313
534307,161
534328,413
534349,368
534388,130
534393,-31
534413,26
534434,140
534474,88
534478,-131
534500,-323
534521,-376
534594,-385
534605,-509
534644,-421
534649,-371
534669,-440
534691,-543
534730,-562
534735,-459
534756,-343
534778,-359
534817,-536
534822,-760
534842,-880
534864,-860
534903,-814
534908,-890
534927,-1113
534950,-1347
534989,-1465
534994,-1427
535014,-1291
535036,-1143
535075,-1032
535080,-988
535100,-1016
535122,-1048
535161,-970
535166,-782
535186,-657
535207,-767
535345,-1054
535388,-1169
535428,-850
535437,-360
535459,-399
535498,-511
535503,-582
535523,-612
535891,-586
536079,-335
536158,-807
536200,-617
536206,-795
536245,-936
536250,-883
536270,-707
536291,-661
536331,-847
536336,-1054
536356,-976
536464,-658
536540,-479
536547,-607
536586,-835
536607,-841
536628,-659
536667,-477
536672,-411
536694,-488
536715,-581
536754,-532
536759,-319
536779,-139
536801,-188
536840,-455
536845,-735
536865,-828
536965,-741
537007,-659
537047,-390
537054,-393
537093,-551
537099,-633
537118,-570
537140,-461
537179,-435
537184,-547
537204,-684
537242,-732
537281,-686
537290,-689
537311,-824
537351,-915
537356,-889
537376,-777
537397,-673
537436,-617
537441,-580
537463,-506
537484,-429
