timestamp,ECG_Raw
2867863,-417
2867961,-14146
2868012,-13540
2868062,-3279
2868112,15714
2868129,-4692
2868178,-5860
2868193,3531
2868214,3733
2868264,-325
2868278,-7706
2868382,-9828
2868480,-2235
2868532,29788
2868549,-992
2868600,6479
2868612,3408
2868634,-7559
2868685,-3303
2868696,32643
2868718,26228
2868770,831
2868783,-30624
2868803,-23136
2868855,-11917
2868867,6720
2868889,11445
2868941,9454
2868952,-8520
2868974,-11069
2869026,-7730
2869037,-3136
2869058,-2448
2869110,3003
2869157,16916
2869210,9554
2869227,-4179
2869280,-12517
2869291,-7387
2869312,6996
2869365,16657
2869376,5735
2869396,-4273
2869548,-11216
2869605,10568
2869661,-29287
2869716,-13353
2869729,14902
2869784,9231
2869794,-10884
2869815,-16399
2869870,-16280
2869878,-4239
2869900,2104
2869954,5070
2869964,-260
2869985,-4888
2870040,-7976
2870048,-7496
2870070,-5193
2870125,-2815
2870134,-847
2870156,-1558
2870211,-2734
2870219,-4312
2870240,-4421
2870295,-4176
2870303,-3213
2870359,-2926
2870414,-2959
2870471,-3038
2870493,-3313
2870548,-3105
2870556,-2777
2870676,-2636
2870784,-2557
2870843,-1682
2870899,-1595
2870910,-919
2870965,-966
2870973,-1330
2870994,-1380
2871050,-1349
2871058,-1337
2871079,-1345
2871134,-1302
2871143,-1052
2871164,-884
2871220,-721
2871227,-361
2871249,-144
2871304,0
2871313,-265
2871335,-511
2871390,-562
2871398,-227
2871419,-329
2871473,-700
2871482,-1193
2871504,-1073
2871557,-935
2871568,-1129
2871590,-1337
2871675,-1526
2871828,-1755
2871884,-1778
2871937,-2091
2871989,-2420
2872005,-2586
2872057,-2403
2872069,-2576
2872091,-2688
2872142,-2645
2872155,-2490
2872175,-2551
2872226,-2606
2872239,-2321
2872260,-2059
2872311,-1881
2872324,-1828
2872345,-1781
2872397,-1688
2872409,-1644
2872431,-1672
2872482,-1666
2872494,-1719
2872516,-1816
2872566,-1808
2872579,-1428
2872600,-1459
2872651,-1766
2872664,-2154
